STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#3 A. MORAGNE ,#23 J. LAW ,#0 S. SANCHEZ-OLIVER ,#40 U. MILLER ,#14 J. WATKINS ,#20 B. ROBINSON ,#32 R. TWINE ,#24 Z. HOLMES ,#22 M. JOHNSON ,#11 K. COOMBER ,All Field Goal Attempts,"1,161",100.0%,848,0.730,"1,161",33.0%,35.8%,0.0%,2.6%,2.6%,33.0%,867,36.6%,294,22.4%
STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%,STAT,POSS,%TIME,PTS,PPP,FG ATT,FG%,EFG%,TO%,%FT,%SF,SCORE%,2 FG ATT,2 FG%,3FG ATT,3 FG%, POINTS SCORED ,#3 A. MORAGNE ,#23 J. LAW ,#0 S. SANCHEZ-OLIVER ,#40 U. MILLER ,#14 J. WATKINS ,#20 B. ROBINSON ,#32 R. TWINE ,#24 Z. HOLMES ,#22 M. JOHNSON ,#11 K. COOMBER ,All Field Goal Attempts,"1,161",100.0%,848,0.730,"1,161",33.0%,35.8%,0.0%,2.6%,2.6%,33.0%,867,36.6%,294,22.4%
#3Alexis Moragne,277,23.9%,180,0.650,277,28.2%,32.1%,0.0%,1.4%,1.4%,28.2%,188,29.8%,89,24.7%
#23Janasia Law,172,14.8%,122,0.709,172,31.4%,34.9%,0.0%,2.9%,2.9%,31.4%,119,35.3%,53,22.6%
#0Sainny Sanchez-Oliver,169,14.6%,108,0.639,169,30.2%,31.4%,0.0%,3.0%,3.0%,30.2%,144,32.6%,25,16.0%
#40Unique Miller,165,14.2%,146,0.885,165,42.4%,42.4%,0.0%,4.8%,4.8%,42.4%,165,42.4%,0,-
#14Joy Watkins,109,9.4%,65,0.596,109,23.9%,29.8%,0.0%,0.0%,0.0%,23.9%,66,19.7%,43,30.2%
#20Breazia Robinson,72,6.2%,92,1.278,72,61.1%,61.1%,0.0%,6.9%,6.9%,61.1%,72,61.1%,0,-
#32Rebekka Twine,70,6.0%,28,0.400,70,14.3%,20.0%,0.0%,0.0%,0.0%,14.3%,14,14.3%,56,14.3%
#24Zoe Holmes,43,3.7%,44,1.023,43,51.2%,51.2%,0.0%,4.7%,4.7%,51.2%,43,51.2%,0,-
#22Mizani Johnson,25,2.2%,19,0.760,25,32.0%,38.0%,0.0%,4.0%,4.0%,32.0%,14,35.7%,11,27.3%
#11Kiana Coomber,21,1.8%,14,0.667,21,23.8%,33.3%,0.0%,0.0%,0.0%,23.8%,7,14.3%,14,28.6%
#4Deamoni Jackson,20,1.7%,22,1.100,20,55.0%,55.0%,0.0%,0.0%,0.0%,55.0%,18,61.1%,2,0.0%
Jump Shot,645,55.6%,439,0.681,622,26.7%,32.0%,0.0%,4.2%,4.2%,29.0%,328,30.5%,294,22.4%
#3Alexis Moragne,212,32.9%,154,0.726,200,27.5%,33.0%,0.0%,6.6%,6.6%,31.1%,111,29.7%,89,24.7%
#23Janasia Law,101,15.7%,62,0.614,101,24.8%,30.7%,0.0%,0.0%,0.0%,24.8%,48,27.1%,53,22.6%
#0Sainny Sanchez-Oliver,76,11.8%,46,0.605,76,27.6%,30.3%,0.0%,0.0%,0.0%,27.6%,51,33.3%,25,16.0%
#40Unique Miller,30,4.7%,25,0.833,30,40.0%,40.0%,0.0%,3.3%,3.3%,40.0%,30,40.0%,0,-
#14Joy Watkins,84,13.0%,63,0.750,81,27.2%,35.2%,0.0%,3.6%,3.6%,29.8%,38,23.7%,43,30.2%
#20Breazia Robinson,11,1.7%,9,0.818,9,44.4%,44.4%,0.0%,18.2%,18.2%,45.5%,9,44.4%,0,-
#32Rebekka Twine,67,10.4%,31,0.463,64,14.1%,20.3%,0.0%,4.5%,4.5%,17.9%,8,12.5%,56,14.3%
#22Mizani Johnson,22,3.4%,21,0.955,20,35.0%,42.5%,0.0%,13.6%,13.6%,40.9%,9,44.4%,11,27.3%
#11Kiana Coomber,16,2.5%,14,0.875,16,31.3%,43.8%,0.0%,0.0%,0.0%,31.3%,2,50.0%,14,28.6%
Runner,162,14.0%,103,0.636,137,26.3%,26.3%,0.0%,17.9%,17.9%,34.6%,137,26.3%,0,-
#3Alexis Moragne,39,24.1%,29,0.744,35,34.3%,34.3%,0.0%,12.8%,12.8%,35.9%,35,34.3%,0,-
#23Janasia Law,36,22.2%,24,0.667,29,24.1%,24.1%,0.0%,22.2%,22.2%,38.9%,29,24.1%,0,-
#0Sainny Sanchez-Oliver,43,26.5%,23,0.535,40,25.0%,25.0%,0.0%,7.0%,7.0%,27.9%,40,25.0%,0,-
#40Unique Miller,13,8.0%,13,1.000,9,44.4%,44.4%,0.0%,46.2%,46.2%,53.8%,9,44.4%,0,-
#14Joy Watkins,18,11.1%,4,0.222,15,6.7%,6.7%,0.0%,16.7%,16.7%,16.7%,15,6.7%,0,-
Hook,24,2.1%,8,0.333,21,9.5%,9.5%,0.0%,16.7%,16.7%,20.8%,21,9.5%,0,-
#40Unique Miller,18,75.0%,5,0.278,15,6.7%,6.7%,0.0%,16.7%,16.7%,22.2%,15,6.7%,0,-
At Rim,409,35.2%,412,1.007,339,46.6%,46.6%,0.0%,21.8%,21.8%,52.6%,339,46.6%,0,-
#3Alexis Moragne,50,12.2%,35,0.700,38,23.7%,23.7%,0.0%,26.0%,26.0%,38.0%,38,23.7%,0,-
#23Janasia Law,45,11.0%,48,1.067,40,50.0%,50.0%,0.0%,17.8%,17.8%,53.3%,40,50.0%,0,-
#0Sainny Sanchez-Oliver,63,15.4%,56,0.889,53,37.7%,37.7%,0.0%,23.8%,23.8%,47.6%,53,37.7%,0,-
