PLAYER,GP,POSS,PTS,PPP,AST,TO,TO%,AST/TO,FG ATT,FG MADE,FG MISS,FG%,EFG%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,FT ATT,FT MADE,FT MISS,FT%,%FT,+1,+1%,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,BLK,BLK FGA,CHG TKN,CHG COM,PF TKN,PF COM
"#22
Jenna Mastellone",30,357,323,0.905,37,65,18.2%,0.57,251,114,137,45.4%,49.2%,201,95,106,47.3%,50,19,31,38.0%,92,76,16,82.6%,14.6%,11,3.1%,42.9%,36,10.1%,83,9,74,15,23,9,22,-,-,108,70
"#11
Jada Dapaa",31,377,285,0.756,82,73,19.4%,1.12,266,114,152,42.9%,43.0%,261,113,148,43.3%,5,1,4,20.0%,79,56,23,70.9%,10.9%,3,0.8%,39.8%,34,9.0%,378,116,262,33,23,13,7,-,-,78,73
"#5
Kaitlyn Maxwell",31,309,259,0.838,56,59,19.1%,0.95,235,101,134,43.0%,50.2%,148,67,81,45.3%,87,34,53,39.1%,31,23,8,74.2%,5.2%,1,0.3%,37.5%,10,3.2%,66,31,35,22,39,0,7,-,-,44,36
"#14
Lili Benzel",31,367,238,0.649,30,63,17.2%,0.48,291,79,212,27.1%,36.6%,83,24,59,28.9%,208,55,153,26.4%,27,25,2,92.6%,3.8%,1,0.3%,25.1%,7,1.9%,65,9,56,17,36,1,7,-,-,41,40
"#31
Sam Miller",29,247,194,0.785,18,40,16.2%,0.45,190,85,105,44.7%,44.7%,188,85,103,45.2%,2,0,2,0.0%,35,24,11,68.6%,7.3%,1,0.4%,40.9%,15,6.1%,92,32,60,9,21,10,17,-,-,45,44
"#10
Jordan Mclemore",31,325,194,0.597,61,95,29.2%,0.64,196,67,129,34.2%,38.3%,141,51,90,36.2%,55,16,39,29.1%,70,44,26,62.9%,11.1%,1,0.3%,30.2%,24,7.4%,62,12,50,16,60,3,17,-,-,81,70
"#1
Aaliyah Moore",31,152,90,0.592,7,44,28.9%,0.16,88,35,53,39.8%,39.8%,88,35,53,39.8%,0,0,0,-,43,20,23,46.5%,15.8%,4,2.6%,32.9%,18,11.8%,156,61,95,15,15,4,11,-,-,43,45
"#15
Layla Laws",16,40,21,0.525,0,10,25.0%,0.00,27,9,18,33.3%,33.3%,25,9,16,36.0%,2,0,2,0.0%,6,3,3,50.0%,7.5%,0,0.0%,27.5%,2,5.0%,10,2,8,1,4,1,2,-,-,8,9
"#4
Diajha Allen",20,101,16,0.158,39,45,44.6%,0.87,51,6,45,11.8%,11.8%,38,6,32,15.8%,13,0,13,0.0%,10,4,6,40.0%,5.0%,0,0.0%,8.9%,3,3.0%,37,6,31,11,28,4,7,-,-,13,35
"#13
Maria McConnell",17,30,16,0.533,6,9,30.0%,0.67,21,6,15,28.6%,35.7%,8,3,5,37.5%,13,3,10,23.1%,2,1,1,50.0%,6.7%,2,6.7%,20.0%,2,6.7%,19,4,15,0,5,2,1,-,-,5,13
"#21
Kayley Kovac",10,12,4,0.333,2,2,16.7%,1.00,10,2,8,20.0%,20.0%,9,2,7,22.2%,1,0,1,0.0%,0,0,0,-,0.0%,0,0.0%,16.7%,0,0.0%,4,2,2,0,1,0,0,-,-,0,2
"#3
Nyla Rozier",6,7,2,0.286,0,1,14.3%,0.00,5,1,4,20.0%,20.0%,4,1,3,25.0%,1,0,1,0.0%,2,0,2,0.0%,14.3%,0,0.0%,14.3%,1,14.3%,1,0,1,1,1,0,2,-,-,1,5
,31,"2,333","1,650",0.707,341,509,21.8%,0.67,"1,637",622,"1,015",38.0%,42.0%,"1,196",492,704,41.1%,441,130,311,29.5%,397,276,121,69.5%,9.1%,24,1.0%,33.9%,152,6.5%,978,288,690,142,258,47,101,0,0,467,444
